S_ID,BRANCH,GPA_2,RANK,S_ID ,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT,gpamat,gpasci,GPA,GPA_MATCH,GPA_SCI
69810,2,3.06,0,80032,เตรียมอุดมศึกษาภาคใต้,80,นครศรีธรรมราช,S,0,3,2.37,1.7,3.1,2.4,1.7
69818,0,2.51,1,80055,พรหมคีรีพิทยาคม,80,นครศรีธรรมราช,S,0,1,1.5,2.31,2.5,1.5,2.3
69855,2,2.76,1,92006,ตรังคริสเตียนศึกษา,92,ตรัง,S,0,1,1.11,1.25,2.8,1.1,1.3
69860,2,3.29,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,S,0,3,2.55,3.33,3.3,2.6,3.3
69863,1,3.53,0,80032,เตรียมอุดมศึกษาภาคใต้,80,นครศรีธรรมราช,S,0,3,1.17,1.85,3.5,1.2,1.9
69893,2,3.16,0,90031,วรนารีเฉลิม จังหวัดสงขลา,90,สงขลา,S,0,3,2.53,3.17,3.2,2.5,3.2
69897,2,2.98,0,85007,สตรีระนอง,85,ระนอง,S,0,2,3.22,2.91,3,3.2,2.9
69926,0,2.47,0,80032,เตรียมอุดมศึกษาภาคใต้,80,นครศรีธรรมราช,S,0,2,1.1,1.41,2.5,1.1,1.4
69967,2,3.24,2,82004,ดีบุกพังงาวิทยายน,82,พังงา,S,0,2,1.85,2.45,3.2,1.9,2.5
69975,2,2.73,0,95015,สตรียะลา,95,ยะลา,S,0,3,1.75,2.3,2.7,1.8,2.3
69987,0,2.73,1,81006,พนมเบญจา,81,กระบี่,S,0,2,2.55,2.94,2.7,2.6,2.9
70001,2,2.6,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,0,1,2.1,2,2.6,2.1,2
70009,2,2.85,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,S,0,1,1.75,2.3,2.9,1.8,2.3
72264,2,2.79,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,S,0,2,1.16,2.35,2.8,1.2,2.4
