S_ID,BRANCH,F_ID,F_NAME,GPA,E-GPA,ADMITACADYEAR,ACADYEAR,SEMESTER,RANK,S_NAME,P_NAME,R_NAME,FEE_NAME,ENTRYNAME,S_PARENT
66867,DCA,22,สารสนเทศศาสตร์,2.9,2.88,2559,2562,2,1,ศูนย์การศึกษานอกโรงเรียนจังหวัดปัตตานี,ปัตตานี,S,BDA,7,1
66875,MTA,22,สารสนเทศศาสตร์,2.58,2.46,2559,2562,3,1,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,1
66882,MTA,22,สารสนเทศศาสตร์,3.21,3.14,2559,2562,3,1,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2
66886,DCM,22,สารสนเทศศาสตร์,2.8,2.89,2559,2562,3,1,มุสลิมสันติธรรมมูลนิธิ,นครศรีธรรมราช,S,BDA,7,1
66894,DCA,22,สารสนเทศศาสตร์,2.51,2.56,2559,2562,3,1,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2
66912,DCA,22,สารสนเทศศาสตร์,2.63,2.88,2559,2562,2,1,ปากพูน,นครศรีธรรมราช,S,BDA,7,1
66925,MTA,22,สารสนเทศศาสตร์,2.3,2.91,2559,2563,1,0,วิเชียรมาตุ,ตรัง,S,BDA,7,1
66927,DCA,22,สารสนเทศศาสตร์,2.43,3.49,2559,2562,3,1,เทศบาล 5,สุราษฎร์ธานี,S,BDA,7,3
66946,MTA,22,สารสนเทศศาสตร์,2.22,3.23,2559,2562,2,1,วิทยาลัยอาชีวศึกษาสุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,7,3
66952,MTA,22,สารสนเทศศาสตร์,2.73,3.43,2559,2562,3,1,วิทยาลัยอาชีวศึกษาปัตตานี,ปัตตานี,S,BDA,7,1
66953,MTA,22,สารสนเทศศาสตร์,2.31,2.16,2559,2562,3,0,พิมานพิทยาสรรค์,สตูล,S,BDA,7,0
66969,DCM,22,สารสนเทศศาสตร์,2.02,2.14,2559,2563,1,1,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,1
66989,MTA,22,สารสนเทศศาสตร์,3.1,3.58,2559,2563,1,0,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,7,3
66994,DCM,22,สารสนเทศศาสตร์,2.45,1.57,2559,2562,3,1,วิทยาลัยอาชีวศึกษานครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,2
66999,MTA,22,สารสนเทศศาสตร์,2.16,3.1,2559,2562,3,1,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอระโนด,สงขลา,S,BDA,7,2
67029,MTA,22,สารสนเทศศาสตร์,2.87,3.17,2559,2562,3,0,ธิดาแม่พระ,สุราษฎร์ธานี,S,BDA,7,3
